flores_lang	goldfish_used	goldfish_5mb	goldfish_10mb	goldfish_100mb	goldfish_full	goldfish_1000mb	ngram1	ngram2	data_category	xglm4b5	xglm7b5	mala500	bloom7b1	in_mala500	in_xglm4b5	in_xglm7b5	in_bloom7b1
ces_latn	ces_latn	136.5709558	128.3205833	92.2785721		75.06753833	154.6356917	115.1068489	1000mb	63.67680307	154.37723	71.35422233	140.6725228	TRUE	TRUE	FALSE	FALSE
cjk_latn	cjk_latn	235.227597	226.0491347		219.8958853		245.3071041	239.4193321	10mb	212.0529004	211.7830345	189.9699458	220.8469271	TRUE	FALSE	FALSE	FALSE
ckb_arab	ckb_arab	137.3737181	130.142383	102.3899836	89.11463968		152.5404903	121.9575801	100mb	112.6205133	290.6399082	107.8117764	199.2168531	TRUE	FALSE	FALSE	FALSE
crh_latn	crh_latn	133.8023937	125.0659416		105.5589793		160.7322389	127.0981666	10mb	175.8446601	185.401505	119.1970086	180.1352733	TRUE	FALSE	FALSE	FALSE
cym_latn	cym_latn	130.2938769	120.6077782	90.93736902		77.49587659	158.2212769	114.4185246	1000mb	97.2718047	226.1603725	100.2196178	204.1492837	TRUE	TRUE	FALSE	FALSE
dan_latn	dan_latn	129.6404657	120.9335362	89.52756017		74.08982662	147.5893943	111.4979929	1000mb	60.26219083	122.8666856	67.08092683	129.5787753	TRUE	TRUE	FALSE	FALSE
deu_latn	deu_latn	136.2821992	126.4987337	91.12466912		73.90843741	155.4193533	118.0583534	1000mb	57.92992193	57.07943588	62.84724492	98.54605095	TRUE	TRUE	TRUE	FALSE
dik_latn	din_latn	160.7459766	154.0996833		152.1424777		188.8815534	169.3191702	10mb	197.5520328	202.8240216	225.7773316	216.9924268	FALSE	FALSE	FALSE	FALSE
dyu_latn	dyu_latn	189.0559456	183.3815713		183.0529922		217.1045097	210.6861578	10mb	209.722792	216.6335369	189.7912392	209.2428755	TRUE	FALSE	FALSE	FALSE
dzo_tibt	dzo_tibt	132.7950886			125.442985		158.6286723	144.6254776	5mb	213.7208045	217.2836948	110.57545	238.6568749	TRUE	FALSE	FALSE	FALSE
ell_grek	ell_grek	137.7523017	127.7886427	93.26259117		78.37634086	168.9216341	119.2860608	1000mb	68.54689344	65.99460177	93.40512573	157.2308689	TRUE	TRUE	TRUE	FALSE
eng_latn	eng_latn	118.9789576	110.9340261	83.40660655		68.73020935	134.2901766	103.1630598	1000mb	51.10069072	50.39288204	48.43241759	50.56331021	TRUE	TRUE	TRUE	TRUE
epo_latn	epo_latn	123.2818425	115.037104	88.49577896		75.57375754	146.2349181	110.4773601	1000mb	118.6839081	175.5773581	88.92232407	149.9671572	TRUE	TRUE	FALSE	FALSE
est_latn	est_latn	130.9626458	123.0797975	89.27195224		73.17956849	142.3101789	109.4789472	1000mb	71.71897101	60.94484811	96.31827112	173.5025469	TRUE	TRUE	TRUE	FALSE
eus_latn	eus_latn	119.0526785	111.7995681	83.53159829		70.75912019	137.9271889	103.9405353	1000mb	112.9685079	70.24118445	101.3247904	70.78340785	TRUE	TRUE	TRUE	TRUE
ewe_latn	ewe_latn	148.8688306	141.6044032		128.7077511		173.9005852	144.8628196	10mb	181.6760935	202.8050391	137.5992563	228.4909233	TRUE	FALSE	FALSE	FALSE
fao_latn	fao_latn	135.640545	127.095678	98.49595889	89.22044169		156.3027964	120.7680503	100mb	182.6432832	216.8874796	100.0240579	180.7351075	TRUE	FALSE	FALSE	FALSE
fij_latn	fij_latn	127.8716606	119.4918973		107.2357247		156.7660528	126.0093176	10mb	186.0849494	136.0526015	121.4637057	215.9260855	FALSE	FALSE	FALSE	FALSE
fin_latn	fin_latn	140.6060105	132.3815918	95.062639		75.33818971	156.7318872	114.201765	1000mb	63.79866228	55.50101953	82.10054768	164.2533972	TRUE	TRUE	TRUE	FALSE
fon_latn	fon_latn	202.946718	195.0713324		190.7474889		241.5099808	205.5171107	10mb	209.8720163	255.3923346	190.6571955	239.0248829	TRUE	FALSE	FALSE	TRUE
fra_latn	fra_latn	128.3931963	119.0163815	85.51626629		70.55241431	165.3946535	116.0695074	1000mb	56.66776493	55.75881054	59.63620628	53.43321414	TRUE	TRUE	TRUE	TRUE
fur_latn	fur_latn	136.3429959	126.8963555		114.0942062		164.5815154	131.2566572	10mb	203.2840943	198.5428084	107.3210866	185.8595227	TRUE	FALSE	FALSE	FALSE
fuv_latn	fuv_latn	190.8190551	178.530815		165.359943		195.9423114	188.230852	10mb	188.0022877	201.3289311	184.4051977	192.9356306	FALSE	FALSE	FALSE	FALSE
gaz_latn	orm_latn	150.5047526	143.8067412	121.9782547	120.2061503		185.7508542	202.776129	5mb	163.9649969	260.0199336	144.7139881	262.7690932	FALSE	FALSE	FALSE	FALSE
gla_latn	gla_latn	148.9553524	139.5403332	108.7565589	97.03477797		179.2032148	133.971169	100mb	172.7854986	245.0806635	120.9426812	209.1002253	TRUE	TRUE	FALSE	FALSE
gle_latn	gle_latn	127.6318933	119.1999298	92.34960476	79.47785726		164.003364	118.2520355	100mb	150.6013138	228.4310116	106.3791106	204.1871552	TRUE	TRUE	FALSE	FALSE
glg_latn	glg_latn	130.7451377	122.1974011	91.28115001		76.34056398	152.1988524	114.5287293	1000mb	86.26220729	107.8441491	74.13045177	87.41666182	TRUE	TRUE	FALSE	FALSE
grn_latn	grn_latn	145.3325618	137.5289766		121.5501874		170.9114827	141.6376494	10mb	193.460538	230.5185196	119.9642531	225.6524183	TRUE	TRUE	FALSE	FALSE
guj_gujr	guj_gujr	126.7807142	120.3391552	95.6052092		84.10577203	148.0522696	110.9460775	1000mb	100.3487718	276.2652155	97.03960533	95.99593148	TRUE	TRUE	FALSE	TRUE
hat_latn	hat_latn	126.1946913	120.3866252	100.8056077	89.816406		139.9252275	114.9781116	100mb	114.1517694	85.50849624	102.6335422	163.3633959	TRUE	TRUE	TRUE	FALSE
hau_latn	hau_latn	126.3256834	118.7953539	96.93090744		86.27812147	152.5899284	116.5025821	1000mb	115.8141105	215.6808861	107.2665048	215.0683805	TRUE	TRUE	FALSE	FALSE
heb_hebr	heb_hebr	129.7866542	122.4765177	93.39453612		77.17492692	143.0188291	108.7736807	1000mb	73.7069064	175.4762426	111.2442598	147.777451	TRUE	TRUE	FALSE	FALSE
hin_deva	hin_deva	124.0048611	116.2287921	87.96370509		76.64205054	154.0607747	110.7445432	1000mb	79.73892024	71.13095353	88.96561401	70.06032163	TRUE	TRUE	TRUE	TRUE
hne_deva	hne_deva	150.8893918			141.431945		174.121811	149.985706	5mb	164.5430333	153.6076373	110.5341497	144.1333793	TRUE	FALSE	FALSE	FALSE
hrv_latn	hrv_latn	129.0106967	120.4522137	86.90735122		71.15547229	147.3892806	110.0692732	1000mb	61.93336538	153.3476224	66.54632278	135.7349722	TRUE	TRUE	FALSE	FALSE
hun_latn	hun_latn	139.1304491	129.7800347	93.47800608		75.05094299	156.454253	113.4006386	1000mb	64.13148892	176.4970816	78.54077557	164.4370687	TRUE	TRUE	FALSE	FALSE
hye_armn	hye_armn	132.4265859	124.1170208	92.50358437		78.37201398	151.6422683	115.065083	1000mb	85.22586001	259.4191999	94.82978469	224.5090329	TRUE	TRUE	FALSE	FALSE
ibo_latn	ibo_latn	144.1875919	137.479636	117.4914279	110.8360091		172.1635923	135.2534993	100mb	147.3270649	248.3412905	123.8916429	149.4649476	TRUE	TRUE	FALSE	TRUE
ilo_latn	ilo_latn	140.5283227	132.8990151		111.0591782		166.3240332	129.5711267	10mb	133.6904348	227.7449211	115.7481402	209.6830309	TRUE	FALSE	FALSE	FALSE
ind_latn	ind_latn	117.1764161	108.8460621	83.12191777		72.10689617	131.1330816	101.1069879	1000mb	62.45991857	60.12565598	65.22923328	59.44393599	TRUE	TRUE	TRUE	TRUE
isl_latn	isl_latn	132.1257243	123.4352641	91.18238724		75.355066	150.8284998	113.1007365	1000mb	82.55644206	200.0045023	93.16505334	179.4709079	TRUE	TRUE	FALSE	FALSE
ita_latn	ita_latn	135.3308129	126.6499822	91.55330168		75.27483346	160.9836687	116.4083778	1000mb	60.05745477	58.99994243	62.97939849	86.90748639	TRUE	TRUE	TRUE	FALSE
jav_latn	jav_latn	124.8586423	117.9780136	97.5054751	90.18707401		140.9316006	112.979017	100mb	102.5776005	161.5627453	102.2070492	154.4760968	TRUE	TRUE	FALSE	FALSE
jpn_jpan	jpn_jpan	118.8415716	111.767228	83.08868104		68.51219722	139.2495763	100.9870223	1000mb	63.11373764	61.53016306	68.24488819	93.28048024	TRUE	TRUE	TRUE	FALSE
kab_latn	kab_latn	161.6892629	151.6820308		134.0549064		188.0562645	154.2676467	10mb	214.0296994	256.6894917	159.9855032	215.1930795	TRUE	FALSE	FALSE	FALSE
kac_latn	kac_latn	136.2954605	130.7412266		128.2162822		176.8997695	137.8184325	10mb	187.0813548	248.1748881	146.5943166	239.5535222	TRUE	FALSE	FALSE	FALSE
kam_latn	kik_latn	250.5648962			240.4511381		267.7189522	264.4692562	5mb	186.8901317	202.0219586	172.1932944	200.4707497	TRUE	FALSE	FALSE	FALSE
kan_knda	kan_knda	120.9523306	113.829235	88.12698766		76.34037433	138.965065	103.1020043	1000mb	92.36154179	268.9506727	97.02911198	93.75937644	TRUE	TRUE	FALSE	TRUE
kas_arab	urd_arab	316.6818094	307.4889737	274.6570887		252.8058487	332.7621156	304.084197	5mb	276.8341878	267.4122171	260.9350803	245.9375707	FALSE	FALSE	FALSE	FALSE
kas_deva	kas_deva	223.7501855			221.0411365		248.8628087	240.2922689	5mb	235.9799768	228.8609865	246.5065103	231.5701335	FALSE	FALSE	FALSE	FALSE
kat_geor	kat_geor	121.7728493	113.8760072	84.47596025		72.44189048	144.7137225	108.3869447	1000mb	82.23598141	261.787172	96.52564699	236.6434643	TRUE	TRUE	FALSE	FALSE
kaz_cyrl	kaz_cyrl	120.1792049	112.8903687	86.33960958		73.51928648	141.7808075	102.6939779	1000mb	76.13830245	192.4690007	89.70622698	186.6055781	TRUE	TRUE	FALSE	FALSE
kbp_latn	kbp_latn	157.4566624	149.1828222		145.0513769		193.805255	159.839494	10mb	217.852952	264.2666969	143.6470856	286.3118548	TRUE	FALSE	FALSE	FALSE
kea_latn	kea_latn	160.5110331	151.7582778		145.289178		176.5747631	157.1882148	10mb	180.877343	187.0809379	135.490229	182.181366	TRUE	FALSE	FALSE	FALSE
khk_cyrl	mon_cyrl	121.0943308	114.2353104	88.32345346		77.39848086	142.9458493	103.599463	1000mb	87.49160693	238.213715	97.14018471	192.8138986	TRUE	TRUE	FALSE	FALSE
khm_khmr	khm_khmr	151.0798112	143.2857314	112.1797386	98.81865569		180.1862668	139.1386209	100mb	114.8814389	323.8499639	117.4685668	240.8458806	TRUE	TRUE	FALSE	FALSE
kik_latn	kik_latn	176.5905327			165.8492669		203.1323945	177.8203186	5mb	222.1756292	244.0893025	148.4818288	227.1152415	TRUE	FALSE	FALSE	TRUE
kin_latn	kin_latn	135.5068894	127.5325722	98.48122665	86.99547228		165.2419169	118.7882421	100mb	227.8213906	225.8515494	113.5165515	135.9418221	TRUE	FALSE	FALSE	TRUE
kir_cyrl	kir_cyrl	116.7441387	109.5063615	82.72511635		70.91099636	139.262253	99.21378387	1000mb	114.5503545	224.6863255	94.95502077	202.9657878	TRUE	TRUE	FALSE	FALSE
kmb_latn	kmb_latn	193.6719312	183.9821464		179.1809535		212.6484282	199.3560223	10mb	205.238739	196.7592563	168.6576899	216.4547498	TRUE	FALSE	FALSE	FALSE
kmr_latn	kur_latn	142.8408957	134.8028173	110.8375555	99.93469222		164.9860311	130.7364157	100mb	155.6196187	234.5158926	120.9091886	213.3454768	TRUE	TRUE	FALSE	FALSE
knc_arab	knc_arab	220.7402252	212.6926039	186.248779	181.3766004		274.4314737	274.1594554	100mb	223.0770944	222.7764646	228.5245587	214.4265169	FALSE	FALSE	FALSE	FALSE
knc_latn	knc_latn	187.0739174	175.9591131		170.169897		227.3780361	206.3418216	10mb	229.8167622	227.5081899	242.182139	239.2350205	FALSE	FALSE	FALSE	FALSE
kon_latn	kon_latn	141.5405438	134.9141218		132.9145924		170.3579565	143.0191302	10mb	182.9421302	190.7994588	126.7572255	189.7404785	FALSE	TRUE	FALSE	FALSE
kor_hang	kor_hang	118.8733927	112.1792679	85.36923659		72.23035811	146.673132	102.8648681	1000mb	69.834011	63.53922173	73.27990055	122.6095268	TRUE	TRUE	TRUE	FALSE
lao_laoo	lao_laoo	135.5085044	129.2013203	102.0067545	90.99931765		151.9598079	120.6108849	100mb	110.0988385	268.9523487	107.5927664	231.4939904	TRUE	TRUE	FALSE	FALSE
lij_latn	lij_latn	171.5807114	160.0285169		140.3829016		217.9773651	168.1403596	10mb	198.9272103	195.9632911	122.9897109	193.2343774	TRUE	FALSE	FALSE	FALSE
lim_latn	lim_latn	166.7327454	157.2565336	126.3878758	123.4225776		189.5794778	154.9922134	100mb	180.8451729	201.8844534	116.9415938	192.8973361	FALSE	FALSE	FALSE	FALSE
lin_latn	lin_latn	127.2024529	119.2039581		106.4529772		148.3781508	122.7290211	10mb	144.5692391	183.4590805	116.1659388	167.5735528	TRUE	TRUE	FALSE	TRUE
lit_latn	lit_latn	129.3349164	121.5367639	87.65018186		71.55190541	148.732915	110.0613435	1000mb	67.23093886	188.5052344	92.9371146	163.5358482	TRUE	TRUE	FALSE	FALSE
lmo_latn	lmo_latn	213.9211404	202.8695424	164.211874	162.1815595		241.3504838	201.9502892	100mb	203.2551224	199.2047155	152.0952065	198.359448	TRUE	FALSE	FALSE	FALSE
ltg_latn	ltg_latn	143.9200896	136.010361		121.8817984		162.7084035	138.2326822	10mb	217.3801867	241.0208387	227.2472478	229.7657284	FALSE	FALSE	FALSE	FALSE
ltz_latn	ltz_latn	137.5921056	128.9948006	98.08796575	84.99676007		166.0999212	123.4000539	100mb	154.5477684	149.8315099	103.7991106	188.3855272	TRUE	FALSE	FALSE	FALSE
lua_latn	lua_latn	167.3167511	160.3377447		152.5635681		184.0750285	162.7235164	10mb	175.041997	167.3976547	147.0818813	201.8291838	TRUE	FALSE	FALSE	FALSE
lug_latn	lug_latn	152.1873889	144.3827814	120.4527262	118.7343569		172.1807941	139.8190061	100mb	168.5236593	213.7030623	141.3910718	165.4775364	TRUE	TRUE	FALSE	TRUE
luo_latn	luo_latn	159.5213221	150.9937009		139.0302814		183.7283119	155.3219005	10mb	210.175935	218.5608933	163.6991698	222.8496304	TRUE	FALSE	FALSE	FALSE
lus_latn	lus_latn	133.619764	125.4222807	99.64513651	95.13165894		161.3289666	126.8782315	100mb	157.0439437	217.6960617	131.4831385	211.7218447	TRUE	FALSE	FALSE	FALSE
lvs_latn	lav_latn	128.4275861	119.6999483	85.19466213		70.93789844	149.1456242	110.3443512	1000mb	70.44905116	187.3921894	86.4159281	179.5674035	TRUE	TRUE	FALSE	FALSE
mag_deva	mag_deva	136.3077479			126.5398375		167.907	139.4158781	5mb	156.8769568	143.6278867	133.8631177	128.4822018	FALSE	FALSE	FALSE	FALSE
mai_deva	mai_deva	145.8684909	137.4377192		123.5046459		172.9849092	142.5631757	10mb	174.6942467	165.1909908	102.5059263	126.3876488	TRUE	FALSE	FALSE	FALSE
mal_mlym	mal_mlym	130.334548	122.5451258	95.00331403		80.55561885	152.8186338	111.4688462	1000mb	92.7774257	221.8705118	99.59999639	88.15101603	TRUE	TRUE	FALSE	TRUE
mar_deva	mar_deva	128.7508395	121.2749339	94.39744642		82.3224265	147.8966685	110.9661539	1000mb	94.20793895	200.0506465	100.3309113	92.70069791	TRUE	TRUE	FALSE	TRUE
min_arab	urd_arab	383.2942612	371.5609151	337.3381013		308.3056498	417.5583906	398.9950527	5mb	269.7402872	273.9335111	275.4181736	254.7002252	FALSE	FALSE	FALSE	FALSE
min_latn	min_latn	138.1721263	130.526621		108.3810281		157.7119374	128.369458	10mb	167.3718955	164.0148582	125.8613596	160.3157971	TRUE	FALSE	FALSE	FALSE
mkd_cyrl	mkd_cyrl	125.9630948	117.3480171	87.22914381		73.08409349	147.186358	109.4253254	1000mb	73.22363637	134.8853546	76.94418077	162.9197117	TRUE	TRUE	FALSE	FALSE
mlt_latn	mlt_latn	138.4807513	128.6931239	98.65592642		83.6001694	178.3889308	125.8983532	1000mb	280.7502021	279.0045545	90.70033441	237.5906172	TRUE	FALSE	FALSE	FALSE
mni_beng	ben_beng	329.935132	324.7497045	222.9406998		176.5822152	376.291916	274.1348944	5mb	279.362612	271.0008376	275.7797191	188.1752517	FALSE	FALSE	FALSE	FALSE
mos_latn	mos_latn	197.1869074	187.6718647		187.637927		208.9498928	198.0069806	10mb	228.3467868	236.653787	188.1062354	241.1828994	TRUE	FALSE	FALSE	FALSE
mri_latn	mri_latn	133.5155093	125.9917327	104.4780593	97.39076736		168.8263506	130.2155858	100mb	191.9799079	187.9865534	109.6721381	180.8907731	TRUE	FALSE	FALSE	FALSE
mya_mymr	mya_mymr	132.7319428	126.3431387	98.07600348	86.45085988		165.1899076	125.6443185	100mb	119.5224919	90.4867728	120.998013	224.4429319	TRUE	TRUE	TRUE	FALSE
nld_latn	nld_latn	129.6511405	120.4578898	87.51347036		71.71889496	147.072067	112.2159568	1000mb	60.18603602	111.5416551	65.13426615	115.4291565	TRUE	TRUE	FALSE	FALSE
nno_latn	nno_latn	129.0485627	120.7252861	92.12515473	80.80031155		148.9694264	114.7730996	100mb	73.23414922	153.1247341	76.16438704	151.1679179	TRUE	FALSE	FALSE	FALSE
nob_latn	nob_latn	126.7107495	118.0992015	89.80666937		76.12798613	144.2090343	109.9582496	1000mb	64.69504679	122.0921657	68.04451147	131.7061323	TRUE	TRUE	FALSE	FALSE
npi_deva	nep_deva	123.9982647	117.3435365	93.31393629		82.41673655	144.2253346	111.1111241	1000mb	90.72394906	193.3959983	86.53181291	86.21399609	TRUE	TRUE	FALSE	TRUE
nso_latn	nso_latn	144.3203041	134.5671226		119.0266643		174.8637702	139.1699456	10mb	166.1901445	234.7609844	123.8110346	181.1344274	TRUE	FALSE	FALSE	TRUE
nus_latn	din_latn	228.8011269	220.5441093		217.9780244		328.6937706	276.1244104	5mb	259.5055093	266.1816873	319.7131231	293.4831582	FALSE	FALSE	FALSE	FALSE
nya_latn	nya_latn	133.5368784	126.6295909	105.4236633	97.55414936		155.7931598	121.0572141	100mb	213.768651	202.5819795	118.7651471	180.391532	TRUE	FALSE	FALSE	TRUE
oci_latn	oci_latn	149.3640733	140.3510682	107.437747	97.75227777		182.2223473	135.4876699	100mb	152.8780692	126.5184332	93.78814749	129.1364508	TRUE	FALSE	FALSE	FALSE
ory_orya	ori_orya	129.0735768	122.4550689	98.49617012	87.64390351		147.0466627	114.3807409	100mb	113.1930024	387.7962116	105.4768597	103.6453768	TRUE	FALSE	FALSE	FALSE
pag_latn	pag_latn	150.4114653	140.2273699		122.9942546		168.2277738	139.1490716	10mb	175.0756883	184.3299962	120.1925095	184.3885522	TRUE	FALSE	FALSE	FALSE
pan_guru	pan_guru	130.0993702	122.8943456	97.63731589		85.21817236	160.5155009	116.56887	1000mb	107.6878397	298.41189	101.3865443	99.42579854	TRUE	TRUE	FALSE	TRUE
pap_latn	pap_latn	139.3546922	129.7524395	100.9813757	94.63095095		158.0157248	126.0015934	100mb	166.1434076	177.7887302	118.2366335	183.9301633	TRUE	FALSE	FALSE	FALSE
pbt_arab	pus_arab	150.1216637	141.7716764	117.6144899		104.8726883	170.7350671	136.6141675	1000mb	120.5562538	263.6644212	130.6176494	210.0450021	TRUE	TRUE	FALSE	FALSE
pes_arab	pes_arab	124.6167774	118.4790455	87.42649985		75.11122025	147.2749971	112.6425389	1000mb	70.67012847	152.7156812	84.23051462	145.6732429	TRUE	TRUE	FALSE	FALSE
plt_latn	mlg_latn	131.472407	123.4436435	98.26105404	87.89005459		169.0688039	121.6213852	100mb	116.3670699	236.4809596	102.0410245	176.3547195	TRUE	TRUE	FALSE	FALSE
pol_latn	pol_latn	138.2736653	128.8490676	90.26771999		72.87036961	156.4856126	114.3785423	1000mb	61.18043401	146.6769058	69.19331697	130.9162189	TRUE	TRUE	FALSE	FALSE
por_latn	por_latn	126.4465878	117.0799805	86.38117771		72.37670381	147.1478023	110.3373071	1000mb	59.80335845	57.79264286	63.05564689	55.73293983	TRUE	TRUE	TRUE	TRUE
prs_arab	prs_arab	129.9511117	123.4725207	99.38594108	96.30522334		147.9378867	120.4397657	100mb	80.73524235	150.586917	83.69562834	141.2183699	TRUE	FALSE	FALSE	FALSE
quy_latn	que_latn	148.2247823	141.2555183	122.9767079	121.4798377		166.114687	144.3379864	100mb	185.4972097	125.4167267	132.6970484	196.2294048	TRUE	TRUE	TRUE	FALSE
