belebele_lang	goldfish_used	goldfish	xglm7b5	xglm4b5	bloom7b1	mala500
heb_hebr	heb_hebr	0.3022222222	0.2811111111	0.3111111111	0.2944444444	0.33
hin_deva	hin_deva	0.2755555556	0.29	0.2855555556	0.3011111111	0.2922222222
hin_latn	hin_latn	0.2666666667	0.2944444444	0.3033333333	0.3011111111	0.3055555556
hrv_latn	hrv_latn	0.2977777778	0.3222222222	0.3288888889	0.3055555556	0.3655555556
hun_latn	hun_latn	0.2833333333	0.2822222222	0.3044444444	0.3	0.3344444444
hye_armn	hye_armn	0.2755555556	0.2877777778	0.3077777778	0.2544444444	0.2811111111
ibo_latn	ibo_latn	0.29	0.2644444444	0.2777777778	0.2788888889	0.2744444444
ilo_latn	ilo_latn	0.2455555556	0.2911111111	0.2788888889	0.2644444444	0.2622222222
ind_latn	ind_latn	0.28	0.3522222222	0.3111111111	0.35	0.3366666667
isl_latn	isl_latn	0.31	0.3022222222	0.3188888889	0.31	0.3355555556
ita_latn	ita_latn	0.2777777778	0.3577777778	0.3355555556	0.3288888889	0.3544444444
jav_latn	jav_latn	0.2822222222	0.3144444444	0.32	0.32	0.3111111111
jpn_jpan	jpn_jpan	0.2988888889	0.3411111111	0.3333333333	0.3444444444	0.3377777778
kac_latn	kac_latn	0.2411111111	0.2888888889	0.2766666667	0.2833333333	0.2777777778
kan_knda	kan_knda	0.2788888889	0.2888888889	0.2822222222	0.3155555556	0.2866666667
kat_geor	kat_geor	0.2977777778	0.2677777778	0.2966666667	0.2522222222	0.3133333333
kaz_cyrl	kaz_cyrl	0.2855555556	0.2933333333	0.3133333333	0.2833333333	0.3133333333
kea_latn	kea_latn	0.26	0.2888888889	0.2911111111	0.2744444444	0.2822222222
khk_cyrl	mon_cyrl	0.2966666667	0.2922222222	0.2844444444	0.2666666667	0.2888888889
khm_khmr	khm_khmr	0.2933333333	0.2677777778	0.2777777778	0.2388888889	0.2977777778
kin_latn	kin_latn	0.2566666667	0.3044444444	0.2866666667	0.2877777778	0.2888888889
kir_cyrl	kir_cyrl	0.2944444444	0.3122222222	0.3022222222	0.3288888889	0.3088888889
kor_hang	kor_hang	0.3111111111	0.3566666667	0.3233333333	0.3377777778	0.3344444444
lao_laoo	lao_laoo	0.2666666667	0.2822222222	0.2877777778	0.2311111111	0.2788888889
lin_latn	lin_latn	0.2655555556	0.2788888889	0.2711111111	0.2777777778	0.2644444444
lit_latn	lit_latn	0.2922222222	0.3211111111	0.3433333333	0.34	0.3244444444
lug_latn	lug_latn	0.2433333333	0.2833333333	0.29	0.2722222222	0.2644444444
luo_latn	luo_latn	0.2655555556	0.2911111111	0.29	0.2955555556	0.2788888889
lvs_latn	lav_latn	0.28	0.3077777778	0.3411111111	0.3277777778	0.3322222222
mal_mlym	mal_mlym	0.2766666667	0.2977777778	0.3033333333	0.3311111111	0.3155555556
mar_deva	mar_deva	0.2755555556	0.3155555556	0.3011111111	0.3088888889	0.2933333333
mkd_cyrl	mkd_cyrl	0.2766666667	0.32	0.3111111111	0.3	0.3433333333
mlt_latn	mlt_latn	0.2911111111	0.3066666667	0.3044444444	0.3088888889	0.3111111111
mri_latn	mri_latn	0.2722222222	0.26	0.27	0.2777777778	0.2711111111
mya_mymr	mya_mymr	0.2911111111	0.3011111111	0.28	0.2288888889	0.2822222222
nld_latn	nld_latn	0.3088888889	0.3433333333	0.3411111111	0.3311111111	0.3755555556
nob_latn	nob_latn	0.32	0.3211111111	0.3411111111	0.3077777778	0.37
npi_deva	nep_deva	0.2911111111	0.2788888889	0.2988888889	0.2988888889	0.2911111111
npi_latn	hin_latn	0.2855555556	0.2722222222	0.29	0.2933333333	0.3055555556
nso_latn	nso_latn	0.2533333333	0.2622222222	0.2566666667	0.27	0.2744444444
nya_latn	nya_latn	0.2577777778	0.2655555556	0.2655555556	0.27	0.2711111111
ory_orya	ori_orya	0.2755555556	0.2611111111	0.2766666667	0.31	0.2888888889
pan_guru	pan_guru	0.2877777778	0.2733333333	0.2744444444	0.3088888889	0.2888888889
pbt_arab	pus_arab	0.2622222222	0.2777777778	0.26	0.2833333333	0.2722222222
pes_arab	pes_arab	0.3011111111	0.2955555556	0.3088888889	0.2866666667	0.31
plt_latn	mlg_latn	0.2911111111	0.2877777778	0.2888888889	0.3	0.2855555556
pol_latn	pol_latn	0.2866666667	0.3122222222	0.3222222222	0.3066666667	0.3455555556
por_latn	por_latn	0.2855555556	0.3811111111	0.3411111111	0.3622222222	0.3722222222
ron_latn	ron_latn	0.3044444444	0.3033333333	0.3377777778	0.3255555556	0.3455555556
rus_cyrl	rus_cyrl	0.3111111111	0.3755555556	0.3366666667	0.3322222222	0.3566666667
shn_mymr	shn_mymr	0.2455555556	0.2477777778	0.25	0.2322222222	0.2411111111
sin_latn	hin_latn	0.28	0.2811111111	0.2777777778	0.2788888889	0.2766666667
sin_sinh	sin_sinh	0.3077777778	0.2855555556	0.3022222222	0.2277777778	0.3133333333
slk_latn	slk_latn	0.2944444444	0.3144444444	0.3477777778	0.3111111111	0.3477777778
slv_latn	slv_latn	0.3055555556	0.2955555556	0.3188888889	0.3211111111	0.3255555556
sna_latn	sna_latn	0.2788888889	0.2933333333	0.2988888889	0.2955555556	0.2744444444
snd_arab	snd_arab	0.2944444444	0.2888888889	0.28	0.2755555556	0.2933333333
som_latn	som_latn	0.2544444444	0.2577777778	0.26	0.26	0.2666666667
sot_latn	sot_latn	0.2855555556	0.2911111111	0.2522222222	0.28	0.2833333333
spa_latn	spa_latn	0.2888888889	0.3622222222	0.3511111111	0.3633333333	0.3788888889
srp_cyrl	srp_cyrl	0.2933333333	0.3511111111	0.3355555556	0.3233333333	0.3477777778
ssw_latn	ssw_latn	0.2666666667	0.2733333333	0.2722222222	0.29	0.2855555556
sun_latn	sun_latn	0.2777777778	0.2988888889	0.29	0.3077777778	0.2911111111
swe_latn	swe_latn	0.3066666667	0.34	0.3566666667	0.3188888889	0.3577777778
swh_latn	swa_latn	0.2711111111	0.3244444444	0.2977777778	0.2988888889	0.2788888889
tam_taml	tam_taml	0.2877777778	0.32	0.2955555556	0.34	0.3066666667
tel_telu	tel_telu	0.3044444444	0.3144444444	0.2966666667	0.29	0.28
tgk_cyrl	tgk_cyrl	0.2944444444	0.3166666667	0.3377777778	0.3388888889	0.2955555556
tgl_latn	tgl_latn	0.2977777778	0.2966666667	0.3111111111	0.3077777778	0.3077777778
tha_thai	tha_thai	0.3011111111	0.3488888889	0.3233333333	0.2588888889	0.3322222222
tir_ethi	tir_ethi	0.2766666667	0.3044444444	0.2733333333	0.26	0.2811111111
tsn_latn	tsn_latn	0.2455555556	0.2833333333	0.2755555556	0.2633333333	0.2677777778
tso_latn	tso_latn	0.2444444444	0.27	0.2633333333	0.2911111111	0.2633333333
tur_latn	tur_latn	0.3088888889	0.3522222222	0.32	0.3066666667	0.3077777778
ukr_cyrl	ukr_cyrl	0.27	0.2911111111	0.3177777778	0.3266666667	0.3555555556
urd_arab	urd_arab	0.3	0.2988888889	0.2722222222	0.3055555556	0.3055555556
urd_latn	hin_latn	0.2755555556	0.2677777778	0.2833333333	0.2711111111	0.2788888889
uzn_latn	uzb_latn	0.3011111111	0.3277777778	0.3288888889	0.3122222222	0.3244444444
vie_latn	vie_latn	0.2966666667	0.3466666667	0.31	0.3444444444	0.3511111111
war_latn	war_latn	0.2655555556	0.3122222222	0.2933333333	0.31	0.3044444444
wol_latn	wol_latn	0.2322222222	0.2855555556	0.2633333333	0.2611111111	0.2588888889
xho_latn	xho_latn	0.2766666667	0.2766666667	0.2633333333	0.2844444444	0.2811111111
yor_latn	yor_latn	0.2444444444	0.2511111111	0.2488888889	0.2666666667	0.2455555556
zho_hans	zho_hans	0.3144444444	0.3755555556	0.3388888889	0.3844444444	0.3555555556
zho_hant	zho_hant	0.2722222222	0.33	0.3255555556	0.3822222222	0.3444444444
zsm_latn	msa_latn	0.3111111111	0.3311111111	0.3266666667	0.3566666667	0.3466666667
zul_latn	zul_latn	0.28	0.2733333333	0.3011111111	0.2866666667	0.28
